channel,checkpoint,snr_db,bleu1,bleu2,bleu3,bleu4
AWGN,deepsc-multi,0,0.805579,0.675313,0.573145,0.487316
AWGN,deepsc-multi,3,0.93706,0.886455,0.840397,0.796452
AWGN,deepsc-multi,6,0.950704,0.910218,0.872671,0.836419
AWGN,deepsc-multi,9,0.953417,0.914734,0.878803,0.844176
AWGN,deepsc-multi,12,0.954453,0.916432,0.880999,0.846914
AWGN,deepsc-multi,15,0.954563,0.916855,0.881585,0.847645
AWGN,deepsc-multi,18,0.95517,0.917731,0.882596,0.848825
